Period,Value
2014-08-01,93.10
2014-09-01,86.40
2014-10-01,87.00
2014-11-01,89.30
2014-12-01,88.50
2015-01-01,97.00
2015-02-01,90.00
2015-03-01,96.00
2015-04-01,87.10
2015-05-01,86.20
2015-06-01,92.80
2015-07-01,82.30
2015-08-01,91.60
2015-09-01,90.80
2015-10-01,88.70
2015-11-01,80.40
2015-12-01,83.00
2016-01-01,85.90
