Period,Value
2013-11-01,73.50
2013-12-01,75.30
2014-01-01,81.70
2014-02-01,81.00
2014-03-01,80.40
2014-04-01,80.40
2014-05-01,80.40
2014-06-01,80.40
2014-07-01,80.40
2014-08-01,93.90
2014-09-01,93.00
2014-10-01,94.40
2014-11-01,93.70
2014-12-01,99.90
2015-01-01,113.90
2015-02-01,112.10
2015-03-01,109.50
2015-04-01,105.10
2015-05-01,107.10
2015-06-01,110.30
2015-07-01,104.00
2015-08-01,115.80
2015-09-01,120.30
2015-10-01,114.60
2015-11-01,110.90
2015-12-01,116.40
2016-01-01,116.40
