Period,Value
2014-05-01,58.60
2014-06-01,61.00
2014-07-01,60.60
2014-08-01,59.70
2014-09-01,59.00
2014-10-01,57.20
2014-11-01,56.10
2014-12-01,53.50
2015-01-01,54.40
2015-02-01,57.20
2015-03-01,59.20
2015-04-01,57.00
2015-05-01,56.00
2015-06-01,54.60
2015-07-01,55.70
2015-08-01,55.70
2015-09-01,55.00
2015-10-01,55.00
2015-11-01,55.90
2015-12-01,54.00
2016-01-01,53.20
