Period,Value
2013-12-01,55.70
2014-01-01,56.70
2014-02-01,53.30
2014-03-01,55.30
2014-04-01,55.00
2014-05-01,58.10
2014-06-01,61.00
2014-07-01,60.80
2014-08-01,59.50
2014-09-01,58.90
2014-10-01,57.10
2014-11-01,56.20
2014-12-01,53.30
2015-01-01,54.20
2015-02-01,57.10
2015-03-01,59.20
2015-04-01,57.40
2015-05-01,56.20
2015-06-01,54.80
2015-07-01,55.70
2015-08-01,56.10
2015-09-01,55.10
2015-10-01,54.80
2015-11-01,56.10
2015-12-01,54.30
2016-01-01,53.20
