index,value
"1959-04-01 00:00:00",3049.01
"1959-05-01 00:00:00",3049.01
"1959-06-01 00:00:00",3049.01
"1959-07-01 00:00:00",3043.14
"1959-08-01 00:00:00",3043.14
"1959-09-01 00:00:00",3043.14
"1959-10-01 00:00:00",3055.1
"1959-11-01 00:00:00",3055.1
"1959-12-01 00:00:00",3055.1
"1960-01-01 00:00:00",3123.16
"1960-02-01 00:00:00",3123.16
"1960-03-01 00:00:00",3123.16
"1960-04-01 00:00:00",3111.31
"1960-05-01 00:00:00",3111.31
"1960-06-01 00:00:00",3111.31
"1960-07-01 00:00:00",3119.06
"1960-08-01 00:00:00",3119.06
"1960-09-01 00:00:00",3119.06
"1960-10-01 00:00:00",3081.3
"1960-11-01 00:00:00",3081.3
"1960-12-01 00:00:00",3081.3
"1961-01-01 00:00:00",3102.25
"1961-02-01 00:00:00",3102.25
"1961-03-01 00:00:00",3102.25
"1961-04-01 00:00:00",3159.92
"1961-05-01 00:00:00",3159.92
"1961-06-01 00:00:00",3159.92
"1961-07-01 00:00:00",3212.61
"1961-08-01 00:00:00",3212.61
"1961-09-01 00:00:00",3212.61
"1961-10-01 00:00:00",3277.72
"1961-11-01 00:00:00",3277.72
"1961-12-01 00:00:00",3277.72
"1962-01-01 00:00:00",3336.75
"1962-02-01 00:00:00",3336.75
"1962-03-01 00:00:00",3336.75
"1962-04-01 00:00:00",3372.71
"1962-05-01 00:00:00",3372.71
"1962-06-01 00:00:00",3372.71
"1962-07-01 00:00:00",3404.83
"1962-08-01 00:00:00",3404.83
"1962-09-01 00:00:00",3404.83
"1962-10-01 00:00:00",3418.05
"1962-11-01 00:00:00",3418.05
"1962-12-01 00:00:00",3418.05
"1963-01-01 00:00:00",3456.08
"1963-02-01 00:00:00",3456.08
"1963-03-01 00:00:00",3456.08
"1963-04-01 00:00:00",3501.13
"1963-05-01 00:00:00",3501.13
"1963-06-01 00:00:00",3501.13
"1963-07-01 00:00:00",3569.48
"1963-08-01 00:00:00",3569.48
"1963-09-01 00:00:00",3569.48
"1963-10-01 00:00:00",3594.95
"1963-11-01 00:00:00",3594.95
"1963-12-01 00:00:00",3594.95
"1964-01-01 00:00:00",3672.71
"1964-02-01 00:00:00",3672.71
"1964-03-01 00:00:00",3672.71
"1964-04-01 00:00:00",3716.38
"1964-05-01 00:00:00",3716.38
"1964-06-01 00:00:00",3716.38
"1964-07-01 00:00:00",3766.86
"1964-08-01 00:00:00",3766.86
"1964-09-01 00:00:00",3766.86
"1964-10-01 00:00:00",3780.22
"1964-11-01 00:00:00",3780.22
"1964-12-01 00:00:00",3780.22
"1965-01-01 00:00:00",3873.45
"1965-02-01 00:00:00",3873.45
"1965-03-01 00:00:00",3873.45
"1965-04-01 00:00:00",3926.41
"1965-05-01 00:00:00",3926.41
"1965-06-01 00:00:00",3926.41
"1965-07-01 00:00:00",4006.15
"1965-08-01 00:00:00",4006.15
"1965-09-01 00:00:00",4006.15
"1965-10-01 00:00:00",4100.63
"1965-11-01 00:00:00",4100.63
"1965-12-01 00:00:00",4100.63
"1966-01-01 00:00:00",4201.89
"1966-02-01 00:00:00",4201.89
"1966-03-01 00:00:00",4201.89
"1966-04-01 00:00:00",4219.1
"1966-05-01 00:00:00",4219.1
"1966-06-01 00:00:00",4219.1
"1966-07-01 00:00:00",4249.15
"1966-08-01 00:00:00",4249.15
"1966-09-01 00:00:00",4249.15
"1966-10-01 00:00:00",4285.58
"1966-11-01 00:00:00",4285.58
"1966-12-01 00:00:00",4285.58
"1967-01-01 00:00:00",4324.93
"1967-02-01 00:00:00",4324.93
"1967-03-01 00:00:00",4324.93
"1967-04-01 00:00:00",4328.72
"1967-05-01 00:00:00",4328.72
"1967-06-01 00:00:00",4328.72
"1967-07-01 00:00:00",4366.09
"1967-08-01 00:00:00",4366.09
"1967-09-01 00:00:00",4366.09
"1967-10-01 00:00:00",4401.23
"1967-11-01 00:00:00",4401.23
"1967-12-01 00:00:00",4401.23
"1968-01-01 00:00:00",4490.61
"1968-02-01 00:00:00",4490.61
"1968-03-01 00:00:00",4490.61
"1968-04-01 00:00:00",4566.44
"1968-05-01 00:00:00",4566.44
"1968-06-01 00:00:00",4566.44
"1968-07-01 00:00:00",4599.33
"1968-08-01 00:00:00",4599.33
"1968-09-01 00:00:00",4599.33
"1968-10-01 00:00:00",4619.8
"1968-11-01 00:00:00",4619.8
"1968-12-01 00:00:00",4619.8
"1969-01-01 00:00:00",4691.64
"1969-02-01 00:00:00",4691.64
"1969-03-01 00:00:00",4691.64
"1969-04-01 00:00:00",4706.68
"1969-05-01 00:00:00",4706.68
"1969-06-01 00:00:00",4706.68
"1969-07-01 00:00:00",4736.14
"1969-08-01 00:00:00",4736.14
"1969-09-01 00:00:00",4736.14
"1969-10-01 00:00:00",4715.47
"1969-11-01 00:00:00",4715.47
"1969-12-01 00:00:00",4715.47
"1970-01-01 00:00:00",4707.11
"1970-02-01 00:00:00",4707.11
"1970-03-01 00:00:00",4707.11
"1970-04-01 00:00:00",4715.44
"1970-05-01 00:00:00",4715.44
"1970-06-01 00:00:00",4715.44
"1970-07-01 00:00:00",4757.21
"1970-08-01 00:00:00",4757.21
"1970-09-01 00:00:00",4757.21
"1970-10-01 00:00:00",4708.28
"1970-11-01 00:00:00",4708.28
"1970-12-01 00:00:00",4708.28
"1971-01-01 00:00:00",4834.35
"1971-02-01 00:00:00",4834.35
"1971-03-01 00:00:00",4834.35
"1971-04-01 00:00:00",4861.94
"1971-05-01 00:00:00",4861.94
"1971-06-01 00:00:00",4861.94
"1971-07-01 00:00:00",4899.95
"1971-08-01 00:00:00",4899.95
"1971-09-01 00:00:00",4899.95
"1971-10-01 00:00:00",4914.26
"1971-11-01 00:00:00",4914.26
"1971-12-01 00:00:00",4914.26
"1972-01-01 00:00:00",5002.44
"1972-02-01 00:00:00",5002.44
"1972-03-01 00:00:00",5002.44
"1972-04-01 00:00:00",5118.28
"1972-05-01 00:00:00",5118.28
"1972-06-01 00:00:00",5118.28
"1972-07-01 00:00:00",5165.45
"1972-08-01 00:00:00",5165.45
"1972-09-01 00:00:00",5165.45
"1972-10-01 00:00:00",5251.23
"1972-11-01 00:00:00",5251.23
"1972-12-01 00:00:00",5251.23
"1973-01-01 00:00:00",5380.5
"1973-02-01 00:00:00",5380.5
"1973-03-01 00:00:00",5380.5
"1973-04-01 00:00:00",5441.5
"1973-05-01 00:00:00",5441.5
"1973-06-01 00:00:00",5441.5
"1973-07-01 00:00:00",5411.94
"1973-08-01 00:00:00",5411.94
"1973-09-01 00:00:00",5411.94
"1973-10-01 00:00:00",5462.4
"1973-11-01 00:00:00",5462.4
"1973-12-01 00:00:00",5462.4
"1974-01-01 00:00:00",5417.02
"1974-02-01 00:00:00",5417.02
"1974-03-01 00:00:00",5417.02
"1974-04-01 00:00:00",5431.27
"1974-05-01 00:00:00",5431.27
"1974-06-01 00:00:00",5431.27
"1974-07-01 00:00:00",5378.68
"1974-08-01 00:00:00",5378.68
"1974-09-01 00:00:00",5378.68
"1974-10-01 00:00:00",5357.17
"1974-11-01 00:00:00",5357.17
"1974-12-01 00:00:00",5357.17
"1975-01-01 00:00:00",5292.44
"1975-02-01 00:00:00",5292.44
"1975-03-01 00:00:00",5292.44
"1975-04-01 00:00:00",5333.22
"1975-05-01 00:00:00",5333.22
"1975-06-01 00:00:00",5333.22
"1975-07-01 00:00:00",5421.36
